codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03019,20341,18607,1734,897,788,37,13,113,22,10,5,278,180,109,19,60,187,59,118,0,0,601,83,10,10,108,8,13,285,11,9,8,12,10,49,25,6,0
03020,147,114,33,32,31,2,3,2,0,0,0,23,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7157,6804,353,71,65,2,22,9,0,1,0,15,14,6,0,0,62,1,56,0,2,121,6,1,2,28,9,0,61,3,2,2,3,3,99,8,87,0
03022,157,143,14,5,4,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,8,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
03023,1778,1645,133,90,88,2,60,5,2,1,1,10,7,2,0,0,8,3,4,0,0,35,2,7,0,1,2,0,21,0,0,0,2,0,0,0,0,0
03024,5453,4753,700,443,410,2,84,65,7,20,6,115,86,33,1,25,182,4,167,0,1,65,6,6,5,23,1,1,16,2,1,0,1,2,10,8,0,0
03025,1927,1536,391,325,306,80,2,40,4,17,0,115,7,19,5,9,15,0,15,0,0,47,8,0,0,14,6,0,12,0,2,0,2,3,3,0,0,1
03026,1915,1398,517,362,333,82,8,32,4,1,3,146,13,29,0,6,32,7,22,0,1,122,23,6,4,58,2,7,8,0,1,0,7,2,1,0,0,0
03027,188,153,35,29,29,2,0,2,0,1,0,6,17,0,0,0,3,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
03028,1268,1154,114,82,82,2,25,11,0,0,0,14,16,0,0,0,13,0,8,0,3,19,2,0,1,0,2,0,4,1,2,0,0,0,0,0,0,0
03030,1333,651,682,622,604,128,1,19,7,3,0,381,8,18,0,0,34,3,27,0,0,26,8,1,1,1,1,7,1,0,4,0,0,0,0,0,0,0
03031,73768,46203,27565,16719,15113,526,1221,682,472,258,219,5801,3458,1606,633,396,2152,848,1158,33,8,5723,1134,151,184,1138,524,225,1257,75,165,196,289,191,2954,845,1450,17
03032,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,198,141,57,45,42,12,0,5,0,0,0,15,3,3,0,0,2,2,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3
03029,566,246,320,283,281,15,0,6,0,0,0,232,17,2,1,0,5,4,1,0,0,32,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03034,3514,1687,1827,1667,1578,169,22,62,5,2,0,911,10,89,15,3,69,7,61,0,0,50,5,1,0,3,0,0,30,0,0,3,0,1,39,18,0,2
03035,794,742,52,44,41,3,0,4,0,0,0,25,6,3,0,2,2,1,1,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03036,110,108,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03037,487,384,103,76,62,2,0,10,1,0,0,26,7,14,10,1,5,2,0,0,0,22,3,1,0,1,1,0,13,0,0,2,1,0,0,0,0,0
03038,423,381,42,34,31,0,0,3,0,2,0,23,0,3,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
03039,113,98,15,13,13,0,0,1,0,0,0,8,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
03040,435,287,148,129,125,12,1,13,0,0,0,83,1,4,0,0,6,5,0,0,0,12,8,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
03041,13932,7066,6866,5951,5512,1845,41,186,62,56,6,1877,428,439,43,44,334,55,262,3,1,507,87,62,17,166,13,17,49,2,32,4,7,14,66,34,6,8
03042,5720,1651,4069,3752,3463,614,16,60,20,18,3,2223,66,289,138,20,79,10,61,0,0,183,15,5,4,41,1,9,50,0,2,4,15,9,49,20,2,6
