codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía
03031,70280,46667,23613,13968,12533,498,1011,604,357,224,193,4909,2623,1435,473,414,1702,535,1062,5,8,6039,1325,206,223,1118,373,275,1376,93,168,146,357,179,1890,814,743,14
03032,115,114,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,194,150,44,37,33,10,0,5,0,0,0,8,2,4,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
03034,3900,1592,2308,2191,2109,267,17,67,10,0,0,1242,8,82,2,0,42,1,40,0,0,50,0,0,1,3,1,0,40,0,0,2,0,0,25,12,0,0
03035,837,790,47,32,30,1,0,2,0,0,0,19,7,2,1,0,6,5,1,0,0,9,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03036,102,98,4,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03037,472,372,100,85,81,8,0,6,1,0,0,36,4,4,1,0,5,4,1,0,0,9,0,0,0,0,1,0,6,0,0,2,0,0,1,1,0,0
03038,440,395,45,37,34,0,0,2,0,3,0,26,0,3,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0
03039,125,104,21,20,20,1,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03040,427,288,139,128,126,9,5,12,0,0,1,80,1,2,0,0,5,2,3,0,0,5,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
03041,13140,6978,6162,5347,4933,1743,38,159,45,44,5,1661,395,414,14,59,271,51,205,3,1,485,107,79,17,152,5,17,41,2,19,3,7,7,57,29,1,2
03042,5216,1582,3634,3341,3118,559,16,58,18,11,4,2031,65,223,91,15,80,9,65,0,0,190,19,4,4,25,1,15,49,0,2,4,16,9,22,8,0,1
03043,3694,3495,199,116,104,3,34,11,2,0,1,30,2,12,0,0,41,3,31,0,0,34,2,0,2,8,2,1,15,4,0,0,0,0,7,3,4,1
03044,6761,5492,1269,712,599,12,121,50,4,25,5,269,62,113,50,55,257,55,201,1,0,284,12,27,4,113,0,0,105,1,0,5,13,1,16,8,0,0
03045,415,241,174,151,143,15,6,10,0,1,0,84,2,8,2,1,8,7,1,0,0,14,1,0,0,2,0,0,0,0,2,0,0,3,1,0,0,0
03046,3021,1671,1350,1263,1201,141,2,66,8,29,3,725,30,62,1,2,26,8,11,2,1,49,17,0,2,6,4,2,0,2,4,0,5,2,12,2,0,0
03047,29228,10680,18548,15555,14459,3905,242,671,190,213,49,4265,1579,1096,148,119,1100,153,679,3,208,1480,357,102,52,584,69,9,67,8,36,23,84,41,409,264,13,4
03048,8224,5679,2545,988,942,46,100,74,5,6,7,245,344,46,14,4,135,66,65,1,0,1407,77,576,4,34,5,6,681,5,0,0,11,3,12,8,2,3
03049,17425,14798,2627,972,771,23,78,465,4,5,9,91,52,201,34,111,996,52,936,3,0,648,10,70,23,56,7,1,423,10,5,0,31,1,11,9,0,0
03050,26043,19751,6292,4098,3813,350,28,674,138,77,37,1300,302,285,64,33,476,154,272,0,5,1556,605,39,62,247,69,33,105,36,32,27,118,74,148,65,1,14
03051,426,405,21,11,11,0,7,2,0,0,0,1,0,0,0,0,3,0,2,0,0,7,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0
03052,1217,1169,48,34,17,0,8,3,0,1,0,1,4,17,0,16,0,0,0,0,0,14,2,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0
