codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03078,1299,592,707,662,183,28,1,11,6,1,0,464,4,479,4,1,7,0,3,0,0,31,0,2,0,9,3,2,6,0,2,3,3,0,7,1,0,0
03079,23652,21417,2235,709,634,32,24,85,19,6,13,27,441,75,14,17,165,55,90,0,4,1215,152,65,17,175,33,7,513,29,30,21,56,36,143,39,97,3
03080,2030,1615,415,321,115,10,5,16,1,33,0,177,14,206,11,11,43,4,34,0,0,45,1,4,3,14,8,0,4,0,0,1,3,1,6,0,0,0
03081,2892,1747,1145,873,329,51,9,40,11,4,4,513,15,544,4,7,129,7,120,0,0,127,41,9,3,19,0,20,2,2,1,2,1,6,11,2,0,5
03082,27983,14569,13414,8323,2987,689,78,451,142,104,19,4569,184,5336,275,147,1207,43,1035,3,11,3152,257,28,52,1414,57,35,308,13,32,23,172,520,696,143,242,36
03083,6861,6224,637,198,113,22,5,21,11,0,0,47,21,85,11,17,175,34,134,1,3,239,45,14,13,25,13,12,76,3,6,1,9,8,25,10,9,0
03084,584,543,41,34,16,1,0,12,0,0,0,17,2,18,0,0,2,1,1,0,0,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
03085,883,345,538,513,217,37,0,12,2,2,0,285,7,296,4,0,9,2,4,0,0,13,2,2,0,5,0,1,0,0,1,0,0,1,3,0,0,0
03086,242,182,60,56,9,2,0,1,0,0,0,44,2,47,0,0,1,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
03088,8500,7351,1149,371,224,18,5,42,17,10,2,93,89,147,26,7,251,159,82,0,8,503,31,78,20,75,10,5,171,14,7,13,17,27,24,16,3,0
03089,12188,11087,1101,506,215,27,12,34,14,41,0,250,23,291,3,17,115,20,88,0,0,441,42,59,13,80,27,3,154,5,18,9,5,3,38,8,13,1
03090,25679,21777,3902,1837,1204,127,40,385,105,47,23,304,119,633,82,131,535,233,261,2,3,1374,352,27,82,264,36,13,98,77,42,28,66,210,148,60,7,8
03091,549,274,275,239,67,8,15,2,0,0,0,168,0,172,0,0,7,6,1,0,0,29,1,3,0,11,0,0,4,0,0,0,0,0,0,0,0,0
03092,9326,8309,1017,273,160,10,50,31,2,3,7,91,19,113,4,4,568,9,525,0,13,140,20,4,7,23,19,2,20,7,14,0,1,9,36,10,10,0
03093,25611,23076,2535,880,722,34,34,97,14,37,20,43,456,158,39,41,588,371,195,3,5,990,44,60,22,127,37,11,528,20,22,16,13,37,76,37,14,1
03094,18108,11876,6232,4123,2351,416,114,219,83,59,37,1062,286,1772,244,104,530,214,200,3,81,1345,348,33,47,182,100,32,290,29,53,21,56,72,228,63,39,6
03095,7080,5562,1518,608,400,72,29,84,10,4,6,76,126,208,30,55,265,18,226,0,9,596,68,27,28,187,25,11,79,7,3,24,28,75,49,31,3,0
03096,7569,6802,767,303,222,17,15,39,15,0,2,55,100,81,7,11,162,6,153,0,0,282,61,18,7,28,10,3,32,5,10,11,64,29,20,5,5,0
03097,2233,1196,1037,900,253,78,15,39,6,8,1,617,24,647,5,2,51,12,31,1,1,71,11,0,1,4,1,1,19,0,4,0,1,4,14,3,0,1
03098,787,628,159,115,50,7,0,13,1,0,0,57,5,65,4,0,14,1,11,0,0,28,3,1,3,14,3,0,1,0,1,0,0,1,2,0,0,0
03099,78940,51583,27357,19219,6526,711,837,525,176,345,87,9679,735,12693,1302,737,3276,720,2034,47,35,3662,320,458,155,903,126,76,831,49,60,70,145,193,1180,419,117,20
03100,983,562,421,359,130,13,2,31,6,3,0,219,4,229,5,0,18,8,8,1,0,40,14,0,1,14,4,1,0,0,0,1,0,1,4,0,0,0
03101,8006,5787,2219,1368,715,220,3,100,18,19,9,522,56,653,39,32,238,37,182,0,3,558,126,6,25,146,16,19,62,1,35,8,43,38,53,23,15,2
03102,10240,8289,1951,1423,765,173,60,174,23,24,6,483,119,658,20,55,177,12,153,1,1,306,24,9,9,48,11,15,98,0,6,3,9,59,45,18,6,0
03103,275,250,25,15,9,2,0,0,0,0,0,6,3,6,0,0,3,1,0,0,1,7,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
